8	3.063272222	3.026533333	1.215705556	2.2264	3.630033333	1.338872222	3.53125	1.494144444	0	0.971516667	2.071844444	1.22105	2.418166667	1.606072222
9	3.21185	2.055366667	2.358711111	3.199583333	2.658866667	1.871694444	4.502072222	2.394177778	1.041127778	0	3.071305556	2.194233333	2.486205556	2.579255556
10	4.634927778	5.52915	1.779827778	1.553955556	6.13265	1.545788889	2.822283333	1.736477778	2.471305556	3.442822222	0	1.554955556	2.132961111	2.189233333
11	4.830877778	5.7251	1.77045	1.330233333	6.3286	1.222561111	3.675438889	1.41325	2.667255556	3.638772222	0.853155556	0	1.877138889	2.385183333
12	3.490822222	4.601911111	3.059272222	1.205216667	5.205411111	1.15955	5.200622222	1.586522222	2.439144444	2.469588889	1.750033333	1.395555556	0	2.739655556
13	3.222638889	4.116861111	1.681505556	2.316538889	4.720361111	1.429011111	3.825216667	1.584283333	1.059016667	2.030533333	2.161983333	1.311188889	2.508305556	0

[*,*,3]: 0 		1 		2 		3 		4 		5 		6 		7 		8 		9 		10 		11 		12 		13:=
0	0	3.638222222	3.697244444	4.671022222	4.337222222	3.152244444	6.171244444	3.758177778	2.976622222	2.824266667	4.521955556	3.505622222	3.864622222	3.954377778
1	5.102622222	0	5.194733333	5.858644444	1.025044444	4.380977778	7.671911111	4.986511111	3.710955556	2.504111111	5.737266667	4.748977778	4.999622222	5.454644444
2	4.219466667	5.243022222	0	2.510622222	5.942022222	2.270155556	3.2282	2.449911111	1.399022222	2.524088889	1.528911111	2.1332	3.093377778	1.395577778
3	4.308133333	6.065555556	2.9232	0	6.764555556	1.427377778	5.138111111	1.596022222	2.540755556	3.545622222	1.870977778	1.375155556	0.671088889	2.935555556
4	5.937977778	1.805555556	6.030088889	6.694	0	5.216333333	8.507266667	5.821866667	4.546311111	3.339466667	6.572622222	5.584333333	5.834977778	6.29
5	3.603333333	4.626888889	2.280022222	1.525866667	5.325888889	0	4.7568	0.603155556	1.545111111	2.176933333	1.353911111	0.365622222	1.258244444	1.942288889
6	6.473733333	7.497288889	3.028911111	4.334111111	8.196288889	4.524422222	0	4.644133333	3.9738	5.098866667	3.609866667	4.387466667	5.0048	3.649844444
7	3.431177778	4.454733333	1.676866667	2.058955556	5.153733333	1.030511111	4.153644444	0	0.941955556	2.067022222	1.879066667	0.893555556	2.280022222	1.339133333
8	3.541755556	3.494133333	1.410488889	2.5816	4.193133333	1.553155556	4.085	1.732911111	0	1.125066667	2.401711111	1.4162	2.802666667	1.864955556
9	3.7064	2.369466667	2.732177778	3.708333333	3.068466667	2.170111111	5.208955556	2.776044444	1.206844444	0	3.556888889	2.542933333	2.882488889	2.991688889
10	5.359044444	6.3826	2.064644444	1.798488889	7.0816	1.790822222	3.267133333	2.012244444	2.861888889	3.986955556	0	1.802488889	2.469177778	2.537933333
11	5.585844444	6.6094	2.0548	1.541933333	7.3084	1.416577778	4.255422222	1.638	3.088688889	4.213755556	0.988288889	0	2.175222222	2.764733333
12	4.033955556	5.312977778	3.545755556	1.397866667	6.011977778	1.3452	6.020155556	1.839755556	2.827911111	2.863022222	2.028133333	1.618888889	0	3.179288889
13	3.727222222	4.750777778	1.950688889	2.688822222	5.449777778	1.660377778	4.427866667	1.840133333	1.230066667	2.355133333	2.508933333	1.523422222	2.909888889	0
;
